,Efficiency_Score (theta),lambda_BD20 algae,lambda_BD20 Camelina,lambda_BD20 canola,lambda_BD20 corn,lambda_BD20 Jatropha,lambda_BD20 palm,lambda_BD20 tallow,lambda_BD20 soy,lambda_E10 corn A,lambda_E10 corn B,lambda_E10 corn C,lambda_E10 corn D,lambda_E10 corn E,lambda_E10 corn stover,lambda_E10 corn stover*G,lambda_E10 corn/stover A,lambda_E10 corn/stover B,lambda_E10 forage sorghum,lambda_E10 forest residue,lambda_E10 forest residue*G,lambda_E10 grain sorghum,lambda_E10 Miscanthus,lambda_E10 Miscanthus*G,lambda_E10 MSW,lambda_E10 poplar,lambda_E10 poplar*G,lambda_E10 sugarcane,lambda_E10 sweet sorghum A,lambda_E10 sweet sorghum B,lambda_E10 switchgrass,lambda_E10 switchgrass*G,lambda_E10 willow,lambda_E10 willow*G,lambda_E85 corn A,lambda_E85 corn B,lambda_E85 corn C,lambda_E85 corn D,lambda_E85 corn E,lambda_E85 corn stover,lambda_E85 corn stover*G,lambda_E85 corn/stover A,lambda_E85 corn/stover B,lambda_E85 forage sorghum,lambda_E85 forest residue,lambda_E85 forest residue*G,lambda_E85 grain sorghum,lambda_E85 Miscanthus,lambda_E85 Miscanthus*G,lambda_E85 MSW,lambda_E85 poplar,lambda_E85 poplar*G,lambda_E85 sugarcane,lambda_E85 sweet sorghum A,lambda_E85 sweet sorghum B,lambda_E85 switchgrass,lambda_E85 switchgrass*G,lambda_E85 willow,lambda_E85 willow*G,lambda_RDI algae,lambda_RDI Camelina,lambda_RDI canola,lambda_RDI corn,lambda_RDI Jatropha,lambda_RDI palm,lambda_RDI soy,lambda_RDII algae,lambda_RDII Camelina,lambda_RDII canola,lambda_RDII corn,lambda_RDII Jatropha,lambda_RDII palm,lambda_RDII soy,s_minus_Distance,s_minus_Cost,s_minus_LO,s_minus_Water,s_minus_GWP,s_minus_FWET,s_minus_FWEU,s_minus_HT,s_minus_PMPF,s_minus_POFP,s_minus_TA,s_minus_TE,s_plus_Output,Is_Efficient
BD20 algae,0.54817847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54817847,0.3623552598305084,0.001878932202227935,0.013370206585365854,0.5326430477732792,0.1777876118918919,0.12260197631147537,0.13877935949367085,0.2125862847073171,0.29319242410606056,0.3447819336199095,0.35583514719298237,-1.0,False
BD20 Camelina,0.77505589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77505589,0.433505836779661,0.15142480113110537,0.09108195603104213,0.7185740842510121,0.15594217606606603,0.025411668524590165,0.04905417025316457,0.16257269887804882,0.2994534120454545,0.36707021034690795,0.42152162438596485,-1.0,False
BD20 canola,0.75040615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75040615,0.4578749389830508,0.0765195645672665,0.048252280155210645,0.6957206815789474,0.15098261876876873,0.028996958957845428,0.04749406012658229,0.148250971097561,0.267190068560606,0.341813962745098,0.44761068596491216,-1.0,False
BD20 corn,0.69121749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69121749,0.3631820710169491,0.21619056028277633,0.09502324696230599,0.6632329762348178,0.15983107126126125,0.03156613830210772,0.05249753088607594,0.19724986909756098,0.3613182334090909,0.384704756877828,0.3516720563157894,-1.0,False
BD20 Jatropha,0.74714381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74714381,0.3925670866101694,0.06978464035132818,0.04141595399113082,0.704795577854251,0.1727629830930931,0.028870896639344258,0.056745099493670875,0.17676329163414634,0.322630281590909,0.377516103092006,0.3801257980701754,-1.0,False
BD20 palm,0.80571575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80571575,0.45065457203389825,0.03797289310197086,0.15989259340354767,0.7437376153846152,0.15969140990990988,0.026416909836065573,0.050994667721519,0.16507347073170733,0.30397457840909087,0.3767298378582202,0.4381962850877192,-1.0,False
BD20 tallow,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8474576271186439,0.027420736932305057,0.0011086474501108647,0.9230769230769229,0.1861861861861862,0.038641686182669784,0.06329113924050635,0.20243902439024394,0.35909090909090907,0.4660633484162896,0.8421052631578947,-1.0,False
BD20 soy,0.97135494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97135494,0.5762275067796608,0.18478217367609256,0.01507646248337029,0.8927027181376517,0.18376985351351355,0.03184770295081967,0.06147816075949369,0.18716351282926832,0.3385024790909091,0.4395271221719457,0.5623633863157894,-1.0,False
E10 corn A,0.9397803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30362132769230765,0.45396167033898294,0.009663550642673522,0.009376965299334811,0.8979277360323886,0.12135301171171171,0.051720929859484774,0.04758381265822786,0.1787874717073171,0.23494507500000006,0.4266574212669683,0.43691540263157885,-1.0,False
E10 corn B,0.94848838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30643470738461537,0.45816811576271177,0.009753093881748071,0.009463853015521065,0.9024079728744939,0.11962916504504503,0.051089538032786874,0.03601854607594936,0.17581735824390246,0.23424788778787875,0.42774966156862737,0.4409638959649122,-1.0,False
E10 corn C,0.96181776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3107411224615384,0.4727578820338982,0.009890156915167094,0.009596851263858092,0.918983770688259,0.11553366486486484,0.05180751400468383,0.03652472506329113,0.17359637619512197,0.22879604290909095,0.43085953954751127,0.45559788631578935,-1.0,False
E10 corn D,0.73771815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23833970999999995,0.3688590749999999,0.009482238431876606,0.012268040188470065,0.73771815,0.13513755900900903,0.04751112207259953,0.05602922658227847,0.1871285063414634,0.2570835977272727,0.4395153382352941,0.35591665131578937,-1.0,False
E10 corn E,0.88819304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28695467446153844,0.436569460338983,0.008371999520137103,0.009846929490022173,0.8558297308502023,0.1200260864864865,0.05096189573770491,0.04497179949367089,0.1798049324878049,0.23819722436363627,0.4246714836802413,0.4207230189473683,-1.0,False
E10 corn stover,0.99062452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200479218461538,0.47012689084745757,0.018675012373607542,0.01757205356984479,0.8943695059109311,0.08032090702702704,0.03711941995316159,0.01253955088607596,0.1691310156097561,0.24315329127272728,0.4587054715535444,0.45186381614035087,-1.0,False
E10 corn stover*G,0.85802498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27720807046153845,0.3999268974576271,0.020586717600685523,0.019024944124168518,0.7850754877732794,0.12625592798798801,0.038179097470725995,0.02172215139240507,0.16114127673170736,0.2236065099393939,0.4270712570135747,0.4290124899999999,-1.0,False
E10 corn/stover A,0.93604033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30241302969230766,0.45215507466101684,0.007218820025706941,0.007264171075388027,0.8981439603643724,0.11805914072072071,0.05370723204918032,0.0473944470886076,0.18720806600000003,0.24393778296969693,0.4447250436651583,0.4351766446491227,-1.0,False
E10 corn/stover B,0.86524551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27954085707692305,0.4399553440677965,0.009638553239074551,0.010551774512195123,0.8197062726315788,0.11952340378378379,0.041539889824355976,0.03285742443037974,0.17093874709756102,0.23204311404545447,0.4202248178280543,0.42503288210526313,-1.0,False
E10 forage sorghum,0.90872454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29358792830769226,0.47746543627118637,0.0031147370694087407,0.0191416477383592,0.8314645588663968,0.08732488072072073,0.03724280901639344,0.023005684556962027,0.16623009878048783,0.23544226718181813,0.43448820389140275,0.4623335378947368,-1.0,False
E10 forest residue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32307692307692304,0.483050847457627,0.01713796058269066,0.026607538802660754,0.902834008097166,0.06306306306306307,0.0351288056206089,0.012658227848101276,0.1780487804878049,0.24696969696969692,0.4660633484162896,0.4649122807017543,-1.0,False
E10 forest residue*G,0.86832119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28053453830769226,0.4047259783898305,0.017113442476435304,0.002887986219512195,0.8015272523076922,0.13559369933933935,0.0416875512763466,0.032974222405063286,0.18213566424390248,0.2631276333333333,0.47279630405731515,0.4189268899122806,-1.0,False
E10 grain sorghum,0.87586165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829706869230769,0.4230857122881355,0.013509434190231363,0.021362479268292683,0.8155796740890688,0.1052086066066066,0.04512636135831382,0.03326056898734177,0.14526485902439026,0.1977324028030303,0.36196997300150824,0.40719883728070166,-1.0,False
